Q6_q0_pa_,Q6_q1_pb_,Q6_q01_pab_,Q8_q2_pa_,Q8_q3_pb_,Q8_q23_pab_,Q12_q0_pa_,Q12_q3_pb_,Q12_q03_pab_,Q16_q1_pa_,Q16_q2_pb_,Q16_q12_pab_,Q10_q0_pa_,Q10_q2_pb_,Q10_q02_pab_,Q18_q1_pa_,Q18_q3_pb_,Q18_q13_pab_,Q14,Q3,Q4,Q5,survey_code,Q12_order,Q16_order,Q10_order,Q18_order,q3
0.5,0.85,0.75,0.65,0.35,0.4,0.45,0.8,0.8,0.5,0.65,0.65,0.3,0.65,0.25,0.55,0.3,0.65,1.0,2,46,2,42082098,1,2,3,4,Q12
0.0,0.1,0.4,0.0,0.0,0.9,0.0,0.5,0.5,0.35,0.05,0.89,0.0,0.0,0.0,0.35,0.0,0.0,1.0,1,38,3,37979178,4,3,1,2,Q10
0.15,0.6,0.15,0.4,0.3,0.7,0.45,0.55,0.55,0.25,0.15,0.15,0.25,0.3,0.15,0.4,0.35,0.25,1.0,2,37,6,61548356,1,2,4,3,Q12
0.05,0.1,0.1,0.06,0.04,0.05,0.05,0.02,0.01,0.04,0.08,0.06,0.01,0.05,0.07,0.5,0.5,0.5,1.0,1,29,4,15909791,1,2,3,4,Q12
0.5,0.8,0.4,0.1,0.05,0.5,0.5,0.5,0.5,0.5,0.1,0.05,0.5,0.6,0.5,0.1,0.1,0.05,1.0,1,57,2,38278969,1,3,2,4,Q12
0.0,0.03,0.01,0.03,0.0,0.02,0.0,0.6,0.7,0.6,0.02,0.14,0.3,0.3,0.0,0.9,0.0,0.3,1.0,2,28,5,16458724,2,1,3,4,Q16
0.7,0.7,0.55,0.65,0.3,0.8,0.4,0.9,0.9,0.8,0.8,0.8,0.9,0.9,0.7,0.7,0.3,0.7,1.0,1,37,3,13826823,2,4,3,1,Q18
0.3,0.6,0.4,0.7,0.4,0.2,0.2,0.6,0.7,0.3,0.2,0.2,0.2,0.4,0.1,0.1,0.1,0.1,1.0,2,27,3,66062804,1,3,4,2,Q12
0.15,0.8,0.1,0.25,0.1,0.85,0.15,0.7,0.7,0.75,0.5,0.5,0.7,0.85,0.5,0.2,0.1,0.25,1.0,2,33,5,23919722,3,2,4,1,Q18
0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.3,0.2,0.2,0.3,0.2,0.3,0.1,0.2,0.2,0.0,1.0,2,29,5,83244898,4,1,3,2,Q16
0.1,0.5,0.6,0.25,0.25,0.05,0.12,0.2,0.1,0.12,0.12,0.1,0.05,0.1,0.12,0.05,0.1,0.25,1.0,2,28,5,55575413,3,2,4,1,Q18
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,2,34,3,86781142,2,4,3,1,Q18
0.2,0.3,0.0,0.2,0.1,0.3,0.0,0.2,0.0,0.2,0.1,0.2,0.3,0.2,0.1,0.1,0.1,0.2,1.0,2,25,5,33119335,4,1,2,3,Q16
0.0,0.5,0.0,0.2,0.2,0.3,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.0,0.2,0.3,1.0,1,40,6,31757682,1,2,3,4,Q12
0.2,0.8,0.15,0.6,0.45,0.7,0.1,0.7,0.7,0.8,0.6,0.5,0.5,0.6,0.95,0.4,0.1,0.15,1.0,2,36,5,60846623,3,1,2,4,Q16
0.6,0.6,0.7,0.88,0.28,0.77,0.5,0.5,0.5,0.5,0.5,0.5,0.54,0.8,0.4,0.55,0.5,0.4,1.0,2,26,4,39875963,4,1,3,2,Q16
0.77,0.55,0.8,0.28,0.12,0.78,0.5,0.5,0.5,0.7,0.45,0.6,0.55,0.77,0.44,0.5,0.5,0.5,1.0,1,26,4,42238559,1,3,2,4,Q12
0.05,0.75,0.05,0.25,0.1,0.05,0.1,0.8,0.8,0.7,0.1,0.1,0.1,0.1,0.1,0.7,0.1,0.2,1.0,1,23,5,67599950,1,4,3,2,Q12
0.1,0.7,0.5,0.3,0.3,0.1,0.1,0.9,0.5,0.5,0.3,0.25,0.1,0.4,0.2,0.2,0.2,0.1,1.0,1,32,5,84439696,1,2,4,3,Q12
0.65,0.85,0.5,0.8,0.8,0.23,0.2,0.5,0.5,0.5,0.3,0.25,0.55,0.25,0.05,0.25,0.15,0.15,1.0,2,38,3,18400963,3,1,2,4,Q16
0.3,1.0,0.3,0.4,0.2,0.7,0.25,0.6,0.6,0.75,0.75,0.75,0.05,0.1,0.2,0.4,0.15,0.25,1.0,2,27,5,16888089,2,1,4,3,Q16
0.1,0.5,0.2,0.7,0.1,0.2,0.0,0.0,0.1,0.3,0.2,0.3,0.5,0.3,0.1,0.3,0.0,0.1,1.0,2,54,6,57680905,1,3,4,2,Q12
0.45,0.1,0.35,0.45,0.3,0.5,0.7,0.55,0.65,0.3,0.55,0.6,0.55,0.5,0.25,0.45,0.45,0.2,1.0,1,28,5,88995594,1,3,4,2,Q12
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1,27,5,15076019,2,4,3,1,Q18
0.2,0.25,0.1,0.05,0.01,0.02,0.01,0.95,0.95,0.75,0.5,0.5,0.5,0.6,0.25,0.25,0.02,0.03,1.0,2,57,5,38812991,3,1,2,4,Q16
0.35,0.95,0.05,0.8,0.01,0.1,0.1,0.5,0.5,0.85,0.65,0.55,0.01,0.01,0.01,0.65,0.3,0.05,1.0,2,36,5,34832853,2,4,1,3,Q10
0.02,0.56,0.23,0.02,0.67,0.56,0.55,0.87,0.87,0.87,0.56,0.99,1.0,1.0,0.67,0.67,0.67,0.12,1.0,1,30,5,50498527,2,3,4,1,Q18
0.15,1.0,0.15,0.2,0.3,0.15,0.02,0.5,0.5,1.0,0.02,0.5,0.02,0.05,0.05,0.8,0.02,0.02,1.0,1,42,3,48282182,2,1,4,3,Q16
0.5,1.0,0.75,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.75,0.5,0.5,0.5,1.0,1,24,5,74120328,3,1,2,4,Q16
0.3,0.5,0.3,0.1,0.05,0.25,0.1,0.25,0.25,0.5,0.1,0.05,0.1,0.2,0.05,0.1,0.1,0.2,1.0,1,26,5,67649554,4,3,1,2,Q10
0.25,0.8,0.2,0.45,0.12,0.25,0.2,0.9,0.9,0.55,0.32,0.15,0.4,0.5,0.2,0.55,0.35,0.45,1.0,2,32,5,37125148,4,1,2,3,Q16
0.5,1.0,0.55,0.95,0.4,0.75,0.2,0.99,0.99,1.0,1.0,1.0,0.95,0.95,0.45,1.0,0.15,0.4,1.0,2,39,3,74791016,4,3,1,2,Q10
0.2,0.75,0.2,0.1,0.05,0.2,0.1,0.5,0.5,0.75,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.05,1.0,2,42,2,91103387,3,4,2,1,Q18
0.6,0.9,0.6,0.8,0.3,0.7,0.1,0.7,0.7,0.9,0.3,0.3,0.6,0.35,0.1,0.1,0.1,0.03,1.0,1,31,5,97581443,1,4,3,2,Q12
0.55,0.95,0.6,0.75,0.45,0.95,0.4,0.9,0.9,0.95,0.95,0.95,0.0,0.75,1.0,0.95,0.15,0.6,1.0,1,32,6,51985029,1,2,4,3,Q12
0.15,0.95,0.14,0.8,0.01,0.75,0.05,0.7,0.7,0.7,0.85,0.8,0.1,0.8,0.7,0.4,0.03,0.25,1.0,2,59,3,30554515,1,4,2,3,Q12
0.4,0.8,0.4,0.3,0.15,0.3,0.15,0.6,0.6,0.5,0.3,0.4,0.15,0.3,0.4,0.5,0.2,0.4,1.0,1,43,5,14295217,1,3,2,4,Q12
0.5,0.8,0.8,0.25,0.1,0.8,0.5,1.0,1.0,0.8,0.25,0.5,0.5,0.5,0.0,0.8,0.5,0.5,1.0,1,52,5,65328159,3,1,2,4,Q16
0.35,0.05,0.3,0.6,0.04,0.15,0.05,0.6,0.75,0.33,0.1,0.02,0.5,0.5,1.0,0.5,0.05,0.1,1.0,2,65,6,81599786,1,3,4,2,Q12
0.0,0.9,0.8,0.2,0.5,0.1,0.4,0.5,0.1,0.2,0.9,0.5,0.8,0.4,0.5,0.6,0.1,0.2,1.0,2,27,3,52020683,3,4,2,1,Q18
0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.3,0.15,0.15,0.2,0.2,0.2,0.2,0.3,0.2,0.15,1.0,2,33,5,53392067,1,4,3,2,Q12
0.5,1.0,0.7,0.8,0.6,0.8,0.4,0.6,0.6,1.0,0.6,0.7,0.3,0.7,0.6,0.9,0.6,0.4,1.0,1,33,3,65000657,2,1,3,4,Q16
0.6,0.7,0.6,0.6,0.4,0.3,0.1,0.5,0.5,0.75,0.75,0.75,0.5,0.5,0.1,0.6,0.1,0.6,1.0,1,26,3,34709100,2,4,1,3,Q10
0.5,1.0,0.5,0.25,0.25,0.8,0.2,0.8,0.8,0.9,0.5,0.5,0.1,0.1,0.1,0.25,0.25,0.25,1.0,1,49,5,48558544,1,2,3,4,Q12
0.4,0.35,0.3,0.15,0.1,0.3,0.5,0.9,0.9,0.4,0.75,0.7,0.02,0.4,0.0,0.4,0.6,0.9,1.0,2,39,3,56092036,2,4,1,3,Q10
0.3,0.6,0.15,0.6,0.02,0.3,0.1,0.45,0.45,0.5,0.6,0.5,0.55,0.1,0.3,0.6,0.1,0.5,1.0,2,37,5,45788790,2,1,4,3,Q16
0.4,1.0,0.35,0.6,0.3,0.9,0.6,0.9,0.9,1.0,0.6,0.6,0.45,0.4,0.2,0.9,0.6,0.65,1.0,2,30,3,57577981,3,1,4,2,Q16
